Legacy Super MAY 1 2020  ;Legacy Preliminary APRIL 29 2020  ;Legacy Challenge APRIL 27 2020  ;Legacy Challenge APRIL 26 2020  ;Legacy Preliminary APRIL 25 2020  ;Legacy Preliminary APRIL 22 2020  ;Legacy Challenge APRIL 20 2020  ;Legacy Challenge APRIL 19 2020  ;Legacy Preliminary APRIL 18 2020  
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Yorion, Sky Nomad;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Other
Zirda, the Dawnwaker;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Other;Other
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Yorion, Sky Nomad;Zirda, the Dawnwaker;Other
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Gyruda, Doom of Depths;Other
Lurrus of the Dream-Den;Other;Zirda, the Dawnwaker;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Jegantha, the Wellspring;Other;Yorion, Sky Nomad;Other
Other;Lurrus of the Dream-Den;Other;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Zirda, the Dawnwaker;Other
Lurrus of the Dream-Den;Yorion, Sky Nomad;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Yorion, Sky Nomad;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Gyruda, Doom of Depths;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Other
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Gyruda, Doom of Depths;Other;Lurrus of the Dream-Den;Jegantha, the Wellspring;Other;Other
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Zirda, the Dawnwaker;Lurrus of the Dream-Den;Other;Other;Other
Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Zirda, the Dawnwaker;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other
Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Other;Other;Lurrus of the Dream-Den;Zirda, the Dawnwaker;Other
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den
Other;Lurrus of the Dream-Den;Yorion, Sky Nomad;Other;Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other
Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;;Other;Lurrus of the Dream-Den;Zirda, the Dawnwaker;
Lurrus of the Dream-Den;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;;Other;Zirda, the Dawnwaker;Lurrus of the Dream-Den;
Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Other;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Lurrus of the Dream-Den;
Other;;Other;Other;;;Other;Other;
Other;;Other;Zirda, the Dawnwaker;;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;
Lurrus of the Dream-Den;;Lurrus of the Dream-Den;Yorion, Sky Nomad;;;Other;Other;
Lurrus of the Dream-Den;;Zirda, the Dawnwaker;Lurrus of the Dream-Den;;;Zirda, the Dawnwaker;Gyruda, Doom of Depths;
Lurrus of the Dream-Den;;Other;Yorion, Sky Nomad;;;Zirda, the Dawnwaker;Other;
Lurrus of the Dream-Den;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;;;Other;Gyruda, Doom of Depths;
Lurrus of the Dream-Den;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;;;Other;Lurrus of the Dream-Den;
Lurrus of the Dream-Den;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;;;Other;Other;
Lurrus of the Dream-Den;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;;;Zirda, the Dawnwaker;Other;
Yorion, Sky Nomad;;Gyruda, Doom of Depths;Lurrus of the Dream-Den;;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;
Lurrus of the Dream-Den;;Other;Lurrus of the Dream-Den;;;Lurrus of the Dream-Den;Gyruda, Doom of Depths;
Lurrus of the Dream-Den;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;;;Lurrus of the Dream-Den;Other;
Lurrus of the Dream-Den;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;;;Lurrus of the Dream-Den;Other;
Lurrus of the Dream-Den;;Lurrus of the Dream-Den;Other;;;Other;Lurrus of the Dream-Den;
Lurrus of the Dream-Den;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;;;Lurrus of the Dream-Den;Lurrus of the Dream-Den;
