Standard Preliminary MAY 1 2020  ;Standard League APRIL 30 2020  ;Standard Preliminary APRIL 29 2020  ;Standard Challenge APRIL 27 2020  ;Standard League APRIL 27 2020  ;Standard Challenge APRIL 26 2020  ;Standard Preliminary APRIL 23 2020  ;Standard League APRIL 23 2020  ;Standard Super APRIL 22 2020  ;Standard Challenge APRIL 20 2020  ;Standard League APRIL 20 2020  ;Standard Challenge APRIL 19 2020  
Other;Zirda, the Dawnwaker;Keruga, the Macrosage;Other;Other;Yorion, Sky Nomad;Obosh, the Preypiercer;Keruga, the Macrosage;Keruga, the Macrosage;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Keruga, the Macrosage
Lurrus of the Dream-Den;Yorion, Sky Nomad;Yorion, Sky Nomad;Other;Other;Keruga, the Macrosage;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Keruga, the Macrosage;Lurrus of the Dream-Den;Keruga, the Macrosage;Keruga, the Macrosage
Yorion, Sky Nomad;Umori, the Collector;Yorion, Sky Nomad;Yorion, Sky Nomad;Lurrus of the Dream-Den;Yorion, Sky Nomad;Keruga, the Macrosage;Other;Keruga, the Macrosage;Other;Other;Obosh, the Preypiercer
Yorion, Sky Nomad;Other;Yorion, Sky Nomad;Keruga, the Macrosage;Other;Keruga, the Macrosage;Yorion, Sky Nomad;Other;Yorion, Sky Nomad;Lurrus of the Dream-Den;Gyruda, Doom of Depths;Other
Other;Other;Umori, the Collector;Yorion, Sky Nomad;Keruga, the Macrosage;Other;Lurrus of the Dream-Den;Lurrus of the Dream-Den;Obosh, the Preypiercer;Other;Other;Keruga, the Macrosage
Other;Kaheera, the Orphanguard;Other;Other;Yorion, Sky Nomad;Lurrus of the Dream-Den;Keruga, the Macrosage;Other;Other;Obosh, the Preypiercer;Yorion, Sky Nomad;Gyruda, Doom of Depths
Other;Other;Other;Keruga, the Macrosage;Yorion, Sky Nomad;Keruga, the Macrosage;Yorion, Sky Nomad;Other;Keruga, the Macrosage;Keruga, the Macrosage;Other;Other
Keruga, the Macrosage;Other;Keruga, the Macrosage;Keruga, the Macrosage;Other;Other;Other;Other;Keruga, the Macrosage;Jegantha, the Wellspring;Other;Other
Umori, the Collector;Obosh, the Preypiercer;;Other;Other;Obosh, the Preypiercer;Other;Yorion, Sky Nomad;Keruga, the Macrosage;Keruga, the Macrosage;Other;Keruga, the Macrosage
;Lurrus of the Dream-Den;;Yorion, Sky Nomad;Lurrus of the Dream-Den;Keruga, the Macrosage;;;Other;Other;Other;Keruga, the Macrosage
;Yorion, Sky Nomad;;Yorion, Sky Nomad;;Yorion, Sky Nomad;;;Keruga, the Macrosage;Keruga, the Macrosage;Other;Lurrus of the Dream-Den
;Yorion, Sky Nomad;;Lurrus of the Dream-Den;;Other;;;Keruga, the Macrosage;Keruga, the Macrosage;;Gyruda, Doom of Depths
;Other;;Other;;Other;;;Keruga, the Macrosage;Yorion, Sky Nomad;;Keruga, the Macrosage
;Other;;Yorion, Sky Nomad;;Keruga, the Macrosage;;;Yorion, Sky Nomad;Lurrus of the Dream-Den;;Yorion, Sky Nomad
;Yorion, Sky Nomad;;Lurrus of the Dream-Den;;Keruga, the Macrosage;;;Lurrus of the Dream-Den;Other;;Keruga, the Macrosage
;;;Keruga, the Macrosage;;Umori, the Collector;;;Keruga, the Macrosage;Lurrus of the Dream-Den;;Lurrus of the Dream-Den
;;;Other;;Lurrus of the Dream-Den;;;Keruga, the Macrosage;Other;;Keruga, the Macrosage
;;;Keruga, the Macrosage;;Keruga, the Macrosage;;;Obosh, the Preypiercer;Keruga, the Macrosage;;Keruga, the Macrosage
;;;Yorion, Sky Nomad;;Keruga, the Macrosage;;;Other;Other;;Lurrus of the Dream-Den
;;;Other;;Keruga, the Macrosage;;;Yorion, Sky Nomad;Other;;Other
;;;Other;;Other;;;Lurrus of the Dream-Den;Keruga, the Macrosage;;Keruga, the Macrosage
;;;Yorion, Sky Nomad;;Jegantha, the Wellspring;;;Keruga, the Macrosage;Lurrus of the Dream-Den;;Umori, the Collector
;;;Yorion, Sky Nomad;;Kaheera, the Orphanguard;;;Keruga, the Macrosage;Keruga, the Macrosage;;Gyruda, Doom of Depths
;;;Other;;Keruga, the Macrosage;;;Other;Keruga, the Macrosage;;Obosh, the Preypiercer
;;;Lurrus of the Dream-Den;;Yorion, Sky Nomad;;;Lurrus of the Dream-Den;Other;;Lurrus of the Dream-Den
;;;Yorion, Sky Nomad;;Yorion, Sky Nomad;;;Obosh, the Preypiercer;Yorion, Sky Nomad;;Other
;;;Lurrus of the Dream-Den;;Lurrus of the Dream-Den;;;Keruga, the Macrosage;Keruga, the Macrosage;;Other
;;;Keruga, the Macrosage;;Keruga, the Macrosage;;;Obosh, the Preypiercer;Other;;Other
;;;Other;;Other;;;Other;Lurrus of the Dream-Den;;Other
;;;Other;;Yorion, Sky Nomad;;;Keruga, the Macrosage;Keruga, the Macrosage;;Other
;;;Lurrus of the Dream-Den;;Keruga, the Macrosage;;;Other;Other;;Lurrus of the Dream-Den
;;;Yorion, Sky Nomad;;Other;;;Other;Kaheera, the Orphanguard;;Keruga, the Macrosage
